Deduction,Hand Management,Player Elimination,Score-and-Reset Game,Take That,,,,,,,,,,,,,,,,
Set Collection,,,,,,,,,,,,,,,,,,,,
Area Majority / Influence,Dice Rolling,,,,,,,,,,,,,,,,,,,
Betting and Bluffing,Dice Rolling,End Game Bonuses,Roll / Spin and Move,Track Movement,Variable Set-up,,,,,,,,,,,,,,,
Auction/Bidding,Catch the Leader,Set Collection,Tile Placement,Turn Order: Progressive,,,,,,,,,,,,,,,,
Contracts,Dice Rolling,Point to Point Movement,Resource to Move,Variable Player Powers,Worker Placement,Worker Placement with Dice Workers,,,,,,,,,,,,,,
Dice Rolling,End Game Bonuses,Grid Coverage,Set Collection,Solo / Solitaire Game,Team-Based Game,Tile Placement,Worker Placement with Dice Workers,,,,,,,,,,,,,
Dice Rolling,Set Collection,Worker Placement,Worker Placement with Dice Workers,,,,,,,,,,,,,,,,,
Area Movement,Dice Rolling,Hand Management,Hidden Roles,Once-Per-Game Abilities,Role Playing,Team-Based Game,Traitor Game,Variable Player Powers,Variable Set-up,Voting,,,,,,,,,,
Dice Rolling,Highest-Lowest Scoring,Paper-and-Pencil,Re-rolling and Locking,Solo / Solitaire Game,,,,,,,,,,,,,,,,
Action Points,Auction/Bidding,Open Drafting,Solo / Solitaire Game,,,,,,,,,,,,,,,,,
Team-Based Game,Traitor Game,,,,,,,,,,,,,,,,,,,
End Game Bonuses,Modular Board,Open Drafting,Set Collection,Square Grid,Turn Order: Progressive,Worker Placement,,,,,,,,,,,,,,
Contracts,Mancala,Once-Per-Game Abilities,Rondel,Set Collection,,,,,,,,,,,,,,,,
Hidden Movement,Point to Point Movement,Secret Unit Deployment,Team-Based Game,,,,,,,,,,,,,,,,,
Action Retrieval,Contracts,"Deck, Bag, and Pool Building",Hand Management,Increase Value of Unchosen Resources,Open Drafting,Set Collection,,,,,,,,,,,,,,
Deck Construction,Dice Rolling,Grid Movement,Line of Sight,Simultaneous Action Selection,Turn Order: Progressive,Variable Player Powers,,,,,,,,,,,,,,
Action Points,Hand Management,Push Your Luck,Secret Unit Deployment,Simulation,Simultaneous Action Selection,Take That,,,,,,,,,,,,,,
Hand Management,Turn Order: Progressive,Worker Placement,,,,,,,,,,,,,,,,,,
Betting and Bluffing,Dice Rolling,Hidden Victory Points,Push Your Luck,,,,,,,,,,,,,,,,,
Deck Construction,"Deck, Bag, and Pool Building",Hand Management,Take That,,,,,,,,,,,,,,,,,
Action Points,Cooperative Game,Hand Management,Network and Route Building,Point to Point Movement,Set Collection,Solo / Solitaire Game,Trading,Variable Player Powers,,,,,,,,,,,,
Area Movement,Cooperative Game,Dice Rolling,Role Playing,Scenario / Mission / Campaign Game,Storytelling,Variable Player Powers,,,,,,,,,,,,,,
Closed Drafting,Contracts,Delayed Purchase,End Game Bonuses,Hand Management,Hexagon Grid,Income,Movement Points,Moving Multiple Units,Set Collection,Solo / Solitaire Game,Tech Trees / Tech Tracks,Tile Placement,Variable Phase Order,Worker Placement,,,,,,
Area Majority / Influence,Connections,"Deck, Bag, and Pool Building",Delayed Purchase,Variable Set-up,Zone of Control,,,,,,,,,,,,,,,
Action Drafting,Follow,Hand Management,Set Collection,Variable Phase Order,,,,,,,,,,,,,,,,
Campaign / Battle Card Driven,Cooperative Game,Dice Rolling,Hand Management,Hidden Roles,Modular Board,Player Elimination,Semi-Cooperative Game,Solo / Solitaire Game,Team-Based Game,Traitor Game,Variable Player Powers,,,,,,,,,
Hand Management,Hidden Victory Points,Market,Open Drafting,Score-and-Reset Game,Set Collection,,,,,,,,,,,,,,,
Area Majority / Influence,Layering,Open Drafting,Simultaneous Action Selection,Solo / Solitaire Game,Tile Placement,,,,,,,,,,,,,,,
Hand Management,,,,,,,,,,,,,,,,,,,,
Betting and Bluffing,Commodity Speculation,Simulation,Stock Holding,,,,,,,,,,,,,,,,,
Betting and Bluffing,Dice Rolling,Hand Management,,,,,,,,,,,,,,,,,,
Action Queue,Critical Hits and Failures,Dice Rolling,Line of Sight,Movement Template,Player Elimination,Simulation,Simultaneous Action Selection,Variable Player Powers,,,,,,,,,,,,
Bingo,Contracts,Paper-and-Pencil,Pattern Building,Solo / Solitaire Game,,,,,,,,,,,,,,,,
Area Majority / Influence,Hand Management,Map Addition,Tile Placement,,,,,,,,,,,,,,,,,
Hand Management,Open Drafting,Set Collection,,,,,,,,,,,,,,,,,,
Action Points,Auction/Bidding,Dice Rolling,Time Track,,,,,,,,,,,,,,,,,
Hand Management,Predictive Bid,Trick-taking,,,,,,,,,,,,,,,,,,
Action Points,Area Majority / Influence,Enclosure,Grid Movement,Hand Management,Square Grid,Three Dimensional Movement,Tile Placement,,,,,,,,,,,,,
Cooperative Game,"Deck, Bag, and Pool Building",Delayed Purchase,Events,Hidden Roles,Open Drafting,Player Elimination,Solo / Solitaire Game,Team-Based Game,Variable Player Powers,,,,,,,,,,,
"Deck, Bag, and Pool Building",Hand Management,Open Drafting,,,,,,,,,,,,,,,,,,
Dice Rolling,Solo / Solitaire Game,Turn Order: Claim Action,Variable Player Powers,Worker Placement,"Worker Placement, Different Worker Types",,,,,,,,,,,,,,,
Cooperative Game,,,,,,,,,,,,,,,,,,,,
Action Queue,Network and Route Building,Variable Player Powers,Worker Placement,,,,,,,,,,,,,,,,,
Communication Limits,Cooperative Game,Dice Rolling,Hand Management,Player Elimination,Semi-Cooperative Game,Set Collection,Team-Based Game,Traitor Game,Variable Player Powers,,,,,,,,,,,
Action Points,Hand Management,Victory Points as a Resource,Worker Placement,,,,,,,,,,,,,,,,,
Action Points,Area Majority / Influence,"Deck, Bag, and Pool Building",Dice Rolling,Grid Movement,Hand Management,Modular Board,Variable Player Powers,,,,,,,,,,,,,
Cooperative Game,Deck Construction,Events,Hand Management,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Variable Set-up,,,,,,,,,,,,,,
Hand Management,Ladder Climbing,Predictive Bid,Team-Based Game,Trick-taking,,,,,,,,,,,,,,,,
Action Retrieval,Dice Rolling,Grid Movement,Modular Board,Scenario / Mission / Campaign Game,Square Grid,Take That,Variable Player Powers,,,,,,,,,,,,,
Action Retrieval,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting,Race,Resource to Move,Solo / Solitaire Game,Track Movement,Worker Placement,,,,,,,,,,,
Action Retrieval,Area Majority / Influence,"Deck, Bag, and Pool Building",Delayed Purchase,Hand Management,Open Drafting,Set Collection,Turn Order: Claim Action,,,,,,,,,,,,,
Area Majority / Influence,Hand Management,Hexagon Grid,Hidden Victory Points,Highest-Lowest Scoring,Set Collection,Tile Placement,,,,,,,,,,,,,,
Communication Limits,Cooperative Game,Hand Management,Scenario / Mission / Campaign Game,Trick-taking,,,,,,,,,,,,,,,,
Cooperative Game,Narrative Choice / Paragraph,Solo / Solitaire Game,Storytelling,,,,,,,,,,,,,,,,,
Hand Management,Open Drafting,Set Collection,Tile Placement,Variable Player Powers,Worker Placement,,,,,,,,,,,,,,,
Hand Management,Ladder Climbing,Trick-taking,,,,,,,,,,,,,,,,,,
Auction/Bidding,Hand Management,Simultaneous Action Selection,Worker Placement,,,,,,,,,,,,,,,,,
Action Points,Cooperative Game,Dice Rolling,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Variable Player Powers,,,,,,,,,,,,,,,
Communication Limits,Cooperative Game,Hand Management,Memory,Set Collection,,,,,,,,,,,,,,,,
Deduction,Hand Management,Player Elimination,Score-and-Reset Game,Take That,,,,,,,,,,,,,,,,
Automatic Resource Growth,Enclosure,Increase Value of Unchosen Resources,Tile Placement,Worker Placement,,,,,,,,,,,,,,,,
Auction/Bidding,Auction: Once Around,Closed Economy Auction,Constrained Bidding,Push Your Luck,Set Collection,,,,,,,,,,,,,,,
"Deck, Bag, and Pool Building",Hand Management,Point to Point Movement,,,,,,,,,,,,,,,,,,
Dice Rolling,Set Collection,Worker Placement,Worker Placement with Dice Workers,,,,,,,,,,,,,,,,,
Grid Movement,Pattern Movement,Tile Placement,,,,,,,,,,,,,,,,,,
Action Points,Area Majority / Influence,Area Movement,Dice Rolling,Variable Player Powers,,,,,,,,,,,,,,,,
"Deck, Bag, and Pool Building",Grid Movement,Hand Management,Modular Board,Open Drafting,Rock-Paper-Scissors,Square Grid,Tech Trees / Tech Tracks,Trading,Variable Player Powers,,,,,,,,,,,
Hand Management,Network and Route Building,Open Drafting,Set Collection,,,,,,,,,,,,,,,,,
Hand Management,Network and Route Building,Open Drafting,Push Your Luck,Set Collection,,,,,,,,,,,,,,,,
Hand Management,Set Collection,,,,,,,,,,,,,,,,,,,
Dice Rolling,Hidden Roles,Player Elimination,Push Your Luck,Re-rolling and Locking,Team-Based Game,Variable Player Powers,,,,,,,,,,,,,,
Action Points,Cooperative Game,Dice Rolling,Grid Movement,Pick-up and Deliver,Simulation,Solo / Solitaire Game,Square Grid,Variable Player Powers,,,,,,,,,,,,
Action Points,Action Retrieval,Grid Movement,Hand Management,Modular Board,Simultaneous Action Selection,Take That,Variable Player Powers,,,,,,,,,,,,,
Hand Management,Player Elimination,Score-and-Reset Game,Set Collection,Variable Set-up,,,,,,,,,,,,,,,,
Automatic Resource Growth,Highest-Lowest Scoring,Income,Set Collection,Solo / Solitaire Game,Turn Order: Claim Action,Turn Order: Progressive,Worker Placement,,,,,,,,,,,,,
Hand Management,Ladder Climbing,Single Loser Game,Trick-taking,,,,,,,,,,,,,,,,,
Dice Rolling,Map Addition,Modular Board,Player Elimination,Role Playing,Storytelling,Team-Based Game,Traitor Game,Variable Player Powers,,,,,,,,,,,,
Action Drafting,Income,Lose a Turn,Open Drafting,Set Collection,Turn Order: Role Order,Variable Player Powers,Variable Set-up,,,,,,,,,,,,,
Communication Limits,Deduction,Grid Movement,Hand Management,Memory,Team-Based Game,,,,,,,,,,,,,,,
End Game Bonuses,Hand Management,Income,Open Drafting,Ownership,Simulation,Solo / Solitaire Game,,,,,,,,,,,,,,
Line Drawing,Paper-and-Pencil,,,,,,,,,,,,,,,,,,,
Dice Rolling,Hidden Roles,Player Elimination,Team-Based Game,Variable Player Powers,,,,,,,,,,,,,,,,
Dice Rolling,Network and Route Building,Open Drafting,Set Collection,Tile Placement,Variable Player Powers,,,,,,,,,,,,,,,
Action Points,Cooperative Game,Dice Rolling,Hand Management,Modular Board,Variable Player Powers,,,,,,,,,,,,,,,
Auction/Bidding,End Game Bonuses,Grid Coverage,Tile Placement,Victory Points as a Resource,,,,,,,,,,,,,,,,
Dice Rolling,Events,Real-Time,Relative Movement,Team-Based Game,Tile Placement,Track Movement,,,,,,,,,,,,,,
Contracts,Dice Rolling,Hand Management,Worker Placement,"Worker Placement, Different Worker Types",,,,,,,,,,,,,,,,
Grid Movement,Pattern Movement,Square Grid,Static Capture,,,,,,,,,,,,,,,,,
Hand Management,Player Elimination,Score-and-Reset Game,,,,,,,,,,,,,,,,,,
Open Drafting,Push Your Luck,Set Collection,,,,,,,,,,,,,,,,,,
Investment,Market,Network and Route Building,Ownership,Stock Holding,Tile Placement,Victory Points as a Resource,,,,,,,,,,,,,,
Area Movement,Campaign / Battle Card Driven,Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling,Hand Management,Map Addition,Modular Board,Narrative Choice / Paragraph,Role Playing,Solo / Solitaire Game,Storytelling,Variable Player Powers,,,,,,,,
Hidden Roles,Player Elimination,Team-Based Game,Traitor Game,Voting,,,,,,,,,,,,,,,,
Area Majority / Influence,Tile Placement,,,,,,,,,,,,,,,,,,,
Cooperative Game,Dice Rolling,Hand Management,Point to Point Movement,Push Your Luck,Re-rolling and Locking,Set Collection,Solo / Solitaire Game,Variable Player Powers,,,,,,,,,,,,
Area Majority / Influence,Hot Potato,Investment,Score-and-Reset Game,Set Collection,,,,,,,,,,,,,,,,
Pattern Recognition,Set Collection,Take That,Variable Set-up,,,,,,,,,,,,,,,,,
Line Drawing,,,,,,,,,,,,,,,,,,,,
Campaign / Battle Card Driven,Command Cards,Dice Rolling,Hand Management,Hexagon Grid,Modular Board,Scenario / Mission / Campaign Game,Simulation,,,,,,,,,,,,,
Hand Management,Point to Point Movement,Simultaneous Action Selection,Solo / Solitaire Game,Variable Player Powers,,,,,,,,,,,,,,,,
Cooperative Game,Dice Rolling,Die Icon Resolution,Modular Board,Re-rolling and Locking,Solo / Solitaire Game,Variable Player Powers,,,,,,,,,,,,,,
Paper-and-Pencil,,,,,,,,,,,,,,,,,,,,
Events,Turn Order: Random,Worker Placement,"Worker Placement, Different Worker Types",,,,,,,,,,,,,,,,,
Dice Rolling,Set Collection,Variable Player Powers,Worker Placement,,,,,,,,,,,,,,,,,
Set Collection,Tile Placement,,,,,,,,,,,,,,,,,,,
Action Queue,Bias,Cooperative Game,Dice Rolling,Modular Board,Open Drafting,Programmed Movement,Role Playing,Slide/Push,Variable Player Powers,,,,,,,,,,,
Grid Movement,Hexagon Grid,Mancala,Rondel,Variable Player Powers,,,,,,,,,,,,,,,,
Scenario / Mission / Campaign Game,Solo / Solitaire Game,Worker Placement,,,,,,,,,,,,,,,,,,
Hand Management,Set Collection,,,,,,,,,,,,,,,,,,,
Area Majority / Influence,Hand Management,,,,,,,,,,,,,,,,,,,
Alliances,Area Majority / Influence,Auction/Bidding,Dice Rolling,Hand Management,Simultaneous Action Selection,,,,,,,,,,,,,,,
End Game Bonuses,Follow,Grid Coverage,Pattern Building,Player Elimination,Solo / Solitaire Game,Turn Order: Progressive,Variable Phase Order,Variable Player Powers,Variable Set-up,,,,,,,,,,,
Area Majority / Influence,Set Collection,Variable Player Powers,Worker Placement,"Worker Placement, Different Worker Types",,,,,,,,,,,,,,,,
Action Points,Alliances,Auction/Bidding,Grid Movement,Income,Layering,Open Drafting,Simultaneous Action Selection,Tile Placement,Track Movement,Voting,Worker Placement,,,,,,,,,
Auction/Bidding,Closed Economy Auction,Increase Value of Unchosen Resources,Push Your Luck,Set Collection,,,,,,,,,,,,,,,,
Betting and Bluffing,Bribery,Hand Management,Negotiation,Open Drafting,Role Playing,Set Collection,,,,,,,,,,,,,,
Dice Rolling,Random Production,,,,,,,,,,,,,,,,,,,
Area Movement,Hand Management,Modular Board,Open Drafting,Pick-up and Deliver,Resource to Move,Variable Set-up,,,,,,,,,,,,,,
Action Points,Area Majority / Influence,Area Movement,Campaign / Battle Card Driven,Dice Rolling,Events,Hand Management,,,,,,,,,,,,,,
End Game Bonuses,Income,Open Drafting,Simulation,Solo / Solitaire Game,Worker Placement,,,,,,,,,,,,,,,
Dice Rolling,Open Drafting,Random Production,Variable Set-up,,,,,,,,,,,,,,,,,
Area Movement,Contracts,End Game Bonuses,Open Drafting,Tile Placement,Turn Order: Progressive,Variable Set-up,,,,,,,,,,,,,,
Contracts,"Deck, Bag, and Pool Building",Dice Rolling,Set Collection,Worker Placement,Worker Placement with Dice Workers,,,,,,,,,,,,,,,
Open Drafting,Push Your Luck,Set Collection,,,,,,,,,,,,,,,,,,
Auction/Bidding,Auction: Turn Order Until Pass,Constrained Bidding,Hand Management,,,,,,,,,,,,,,,,,
Action Drafting,Income,Open Drafting,Pattern Building,Turn Order: Stat-Based,Variable Set-up,,,,,,,,,,,,,,,
Storytelling,Targeted Clues,Voting,,,,,,,,,,,,,,,,,,
Area Majority / Influence,Campaign / Battle Card Driven,Dice Rolling,Events,Point to Point Movement,Simulation,,,,,,,,,,,,,,,
Hand Management,,,,,,,,,,,,,,,,,,,,
Auction/Bidding,Auction: Once Around,Income,Push Your Luck,Set Collection,Victory Points as a Resource,,,,,,,,,,,,,,,
Investment,Network and Route Building,Open Drafting,Set Collection,Stock Holding,,,,,,,,,,,,,,,,
Area Majority / Influence,End Game Bonuses,Modular Board,Set Collection,Worker Placement,,,,,,,,,,,,,,,,
Area Movement,Enclosure,Hexagon Grid,Modular Board,Open Drafting,Tile Placement,,,,,,,,,,,,,,,
Cooperative Game,Dice Rolling,Modular Board,Scenario / Mission / Campaign Game,Turn Order: Progressive,Variable Player Powers,,,,,,,,,,,,,,,
Auction/Bidding,Set Collection,Take That,,,,,,,,,,,,,,,,,,
Area Majority / Influence,Auction/Bidding,Auction: Fixed Placement,Constrained Bidding,Score-and-Reset Game,,,,,,,,,,,,,,,,
Action Drafting,Closed Drafting,Lose a Turn,Set Collection,Take That,Turn Order: Role Order,Variable Player Powers,,,,,,,,,,,,,,
Area Majority / Influence,Campaign / Battle Card Driven,Hand Management,Team-Based Game,,,,,,,,,,,,,,,,,
Cooperative Game,,,,,,,,,,,,,,,,,,,,
Area Majority / Influence,Hand Management,Open Drafting,Set Collection,,,,,,,,,,,,,,,,,
Dice Rolling,Open Drafting,Point to Point Movement,Variable Player Powers,Worker Placement with Dice Workers,,,,,,,,,,,,,,,,
Hand Management,Pattern Building,Set Collection,Tile Placement,,,,,,,,,,,,,,,,,
Auction/Bidding,Set Collection,Variable Player Powers,,,,,,,,,,,,,,,,,,
Action Retrieval,Contracts,Increase Value of Unchosen Resources,Set Collection,Tile Placement,Worker Placement,,,,,,,,,,,,,,,
Open Drafting,Set Collection,,,,,,,,,,,,,,,,,,,
Action Points,Contracts,Hand Management,Set Collection,Take That,,,,,,,,,,,,,,,,
Area Majority / Influence,Open Drafting,Point to Point Movement,,,,,,,,,,,,,,,,,,
Action Points,Open Drafting,,,,,,,,,,,,,,,,,,,
Auction/Bidding,Betting and Bluffing,Secret Unit Deployment,,,,,,,,,,,,,,,,,,
Market,Open Drafting,Push Your Luck,Set Collection,,,,,,,,,,,,,,,,,
Hand Management,Ladder Climbing,Trick-taking,,,,,,,,,,,,,,,,,,
"Deck, Bag, and Pool Building",Delayed Purchase,Grid Movement,Hand Management,Hexagon Grid,Modular Board,Open Drafting,Race,,,,,,,,,,,,,
Flicking,Team-Based Game,,,,,,,,,,,,,,,,,,,
Area Movement,Auction/Bidding,Simulation,,,,,,,,,,,,,,,,,,
Betting and Bluffing,Hand Management,Predictive Bid,Trick-taking,,,,,,,,,,,,,,,,,
Card Play Conflict Resolution,Hand Management,Melding and Splaying,Set Collection,,,,,,,,,,,,,,,,,
Action Queue,Grid Movement,Market,Set Collection,Simultaneous Action Selection,Turn Order: Stat-Based,,,,,,,,,,,,,,,
Area Majority / Influence,Contracts,Dice Rolling,Events,Grid Coverage,Hand Management,Hexagon Grid,Income,Map Addition,Once-Per-Game Abilities,Open Drafting,Push Your Luck,Solo / Solitaire Game,Square Grid,Take That,Tech Trees / Tech Tracks,Tile Placement,Variable Player Powers,Variable Set-up,,
Auction/Bidding,Hand Management,Negotiation,Point to Point Movement,Secret Unit Deployment,Simulation,Tug of War,Variable Set-up,,,,,,,,,,,,,
Bingo,Grid Coverage,Line Drawing,Paper-and-Pencil,Solo / Solitaire Game,Square Grid,,,,,,,,,,,,,,,
Auction: Dutch Priority,Events,Income,Worker Placement,,,,,,,,,,,,,,,,,
Real-Time,Score-and-Reset Game,,,,,,,,,,,,,,,,,,,
Pick-up and Deliver,Point to Point Movement,Simulation,,,,,,,,,,,,,,,,,,
Hand Management,Modular Board,Open Drafting,Point to Point Movement,,,,,,,,,,,,,,,,,
Auction/Bidding,Auction: Dutch Priority,Set Collection,,,,,,,,,,,,,,,,,,
Cooperative Game,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Storytelling,,,,,,,,,,,,,,,,,
Hand Management,Player Elimination,Stock Holding,,,,,,,,,,,,,,,,,,
Area Majority / Influence,Worker Placement,,,,,,,,,,,,,,,,,,,
Dice Rolling,Die Icon Resolution,Grid Movement,Line of Sight,Modular Board,Role Playing,Scenario / Mission / Campaign Game,Square Grid,Team-Based Game,Variable Player Powers,,,,,,,,,,,
Action Drafting,Area Majority / Influence,Area-Impulse,Dice Rolling,Follow,Grid Movement,Hexagon Grid,Increase Value of Unchosen Resources,King of the Hill,Modular Board,Race,Tech Trees / Tech Tracks,Trading,Variable Phase Order,Variable Player Powers,Variable Set-up,Voting,,,,
Communication Limits,Memory,Push Your Luck,Team-Based Game,,,,,,,,,,,,,,,,,
Betting and Bluffing,Roll / Spin and Move,,,,,,,,,,,,,,,,,,,
Worker Placement,,,,,,,,,,,,,,,,,,,,
Open Drafting,Set Collection,Take That,Turn Order: Claim Action,Variable Set-up,,,,,,,,,,,,,,,,
Cooperative Game,Dice Rolling,Modular Board,Open Drafting,Point to Point Movement,Turn Order: Progressive,Variable Player Powers,Variable Set-up,,,,,,,,,,,,,
Betting and Bluffing,Hand Management,Ladder Climbing,Trick-taking,,,,,,,,,,,,,,,,,
Action Drafting,Follow,Hand Management,Set Collection,Variable Phase Order,,,,,,,,,,,,,,,,
Hand Management,Set Collection,,,,,,,,,,,,,,,,,,,
Grid Movement,Hidden Movement,Line Drawing,Real-Time,Role Playing,Secret Unit Deployment,Simulation,Team-Based Game,,,,,,,,,,,,,
Hand Management,Move Through Deck,Open Drafting,Set Collection,,,,,,,,,,,,,,,,,
Closed Drafting,Contracts,End Game Bonuses,Hand Management,Income,Open Drafting,Solo / Solitaire Game,Take That,Turn Order: Progressive,Variable Player Powers,,,,,,,,,,,
Area Majority / Influence,Area Movement,Cooperative Game,Dice Rolling,Hand Management,Race,Variable Player Powers,,,,,,,,,,,,,,
Action Drafting,Events,Hand Management,Turn Order: Stat-Based,Variable Set-up,,,,,,,,,,,,,,,,
Cooperative Game,Dice Rolling,Modular Board,Point to Point Movement,Stat Check Resolution,Variable Player Powers,,,,,,,,,,,,,,,
Contracts,Dice Rolling,Grid Movement,Modular Board,Network and Route Building,Pick-up and Deliver,Race,Variable Set-up,,,,,,,,,,,,,
Action Points,Dice Rolling,Set Collection,,,,,,,,,,,,,,,,,,
Action Points,Pick-up and Deliver,Set Collection,Tile Placement,Worker Placement,,,,,,,,,,,,,,,,
End Game Bonuses,Memory,Open Drafting,Set Collection,Simultaneous Action Selection,,,,,,,,,,,,,,,,
Auction/Bidding,Closed Economy Auction,Increase Value of Unchosen Resources,Push Your Luck,Set Collection,,,,,,,,,,,,,,,,
Set Collection,Tile Placement,,,,,,,,,,,,,,,,,,,
"Deck, Bag, and Pool Building",Delayed Purchase,Modular Board,Open Drafting,Player Elimination,Point to Point Movement,Push Your Luck,,,,,,,,,,,,,,
Hand Management,Set Collection,,,,,,,,,,,,,,,,,,,
Area Majority / Influence,Chaining,Enclosure,Hexagon Grid,Modular Board,Variable Set-up,,,,,,,,,,,,,,,
Area Movement,Hand Management,Mancala,Open Drafting,Set Collection,,,,,,,,,,,,,,,,
Area Majority / Influence,Map Addition,Tile Placement,Track Movement,,,,,,,,,,,,,,,,,
Area Majority / Influence,Area Movement,Dice Rolling,Modular Board,Passed Action Token,Team-Based Game,Tile Placement,Variable Player Powers,,,,,,,,,,,,,
Hand Management,Take That,,,,,,,,,,,,,,,,,,,
Paper-and-Pencil,Simultaneous Action Selection,,,,,,,,,,,,,,,,,,,
Ladder Climbing,Trick-taking,,,,,,,,,,,,,,,,,,,
Hand Management,Memory,Open Drafting,Set Collection,Tile Placement,,,,,,,,,,,,,,,,
Area Majority / Influence,Variable Phase Order,,,,,,,,,,,,,,,,,,,
Set Collection,Stock Holding,,,,,,,,,,,,,,,,,,,
Area Majority / Influence,Campaign / Battle Card Driven,Command Cards,Dice Rolling,Die Icon Resolution,Grid Movement,Hand Management,Hexagon Grid,Line of Sight,Modular Board,Movement Points,Scenario / Mission / Campaign Game,Simulation,Team-Based Game,Variable Set-up,,,,,,
Area Majority / Influence,Dice Rolling,Moving Multiple Units,Pick-up and Deliver,Point to Point Movement,Slide/Push,Stock Holding,Worker Placement,,,,,,,,,,,,,
Cooperative Game,"Deck, Bag, and Pool Building",Dice Rolling,Die Icon Resolution,Hand Management,Resource to Move,Role Playing,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Stat Check Resolution,Tech Trees / Tech Tracks,Turn Order: Role Order,Variable Player Powers,,,,,,,,
Line Drawing,Paper-and-Pencil,,,,,,,,,,,,,,,,,,,
Area Majority / Influence,"I Cut, You Choose",Open Drafting,,,,,,,,,,,,,,,,,,
Action Points,Commodity Speculation,Variable Phase Order,Worker Placement,,,,,,,,,,,,,,,,,
Auction/Bidding,Auction: Sealed Bid,Auction: Turn Order Until Pass,Hand Management,Selection Order Bid,,,,,,,,,,,,,,,,
Communication Limits,Cooperative Game,,,,,,,,,,,,,,,,,,,
Area Movement,Pattern Building,Set Collection,,,,,,,,,,,,,,,,,,
Action Queue,Area Majority / Influence,Pick-up and Deliver,Point to Point Movement,Programmed Movement,Simultaneous Action Selection,,,,,,,,,,,,,,,
Open Drafting,Set Collection,Slide/Push,,,,,,,,,,,,,,,,,,
Action Queue,Hand Management,Loans,Open Drafting,Take That,,,,,,,,,,,,,,,,
Alliances,Area Majority / Influence,Area Movement,Area-Impulse,Critical Hits and Failures,Dice Rolling,Grid Movement,Hexagon Grid,Income,Kill Steal,Modular Board,Passed Action Token,Player Elimination,Tech Trees / Tech Tracks,Tile Placement,Variable Player Powers,,,,,
Area Majority / Influence,Hand Management,Hexagon Grid,Once-Per-Game Abilities,Set Collection,Tile Placement,,,,,,,,,,,,,,,
Area Majority / Influence,Auction/Bidding,Dice Rolling,Loans,,,,,,,,,,,,,,,,,
Hand Management,Open Drafting,,,,,,,,,,,,,,,,,,,
Campaign / Battle Card Driven,Dice Rolling,Grid Movement,Hand Management,Hexagon Grid,Line of Sight,Modular Board,Once-Per-Game Abilities,Variable Player Powers,,,,,,,,,,,,
Grid Movement,Map Reduction,Race,Square Grid,Team-Based Game,Three Dimensional Movement,Variable Player Powers,,,,,,,,,,,,,,
Action Queue,Area Movement,Cooperative Game,Dice Rolling,Die Icon Resolution,Events,Hexagon Grid,Map Addition,Movement Points,Narrative Choice / Paragraph,Scenario / Mission / Campaign Game,Solo / Solitaire Game,Tile Placement,Turn Order: Progressive,Variable Player Powers,Worker Placement,,,,,
Contracts,Hand Management,Set Collection,,,,,,,,,,,,,,,,,,
Alliances,Hand Management,Open Drafting,Race,Simultaneous Action Selection,Turn Order: Stat-Based,Variable Player Powers,,,,,,,,,,,,,,
Hot Potato,Score-and-Reset Game,Trick-taking,,,,,,,,,,,,,,,,,,
Hidden Roles,Memory,Player Elimination,Take That,Variable Player Powers,,,,,,,,,,,,,,,,
Set Collection,Simultaneous Action Selection,,,,,,,,,,,,,,,,,,,
Communication Limits,Cooperative Game,Open Drafting,Scenario / Mission / Campaign Game,Trick-taking,,,,,,,,,,,,,,,,
Enclosure,End Game Bonuses,Once-Per-Game Abilities,Open Drafting,Set Collection,Simultaneous Action Selection,Solo / Solitaire Game,Tile Placement,Turn Order: Progressive,Variable Phase Order,Variable Set-up,,,,,,,,,,
Auction/Bidding,Hand Management,Memory,Open Drafting,Push Your Luck,Set Collection,,,,,,,,,,,,,,,
Campaign / Battle Card Driven,Player Elimination,Roll / Spin and Move,Variable Player Powers,,,,,,,,,,,,,,,,,
Hand Management,Open Drafting,Race,Score-and-Reset Game,Take That,Turn Order: Pass Order,Variable Player Powers,,,,,,,,,,,,,,
Action Queue,,,,,,,,,,,,,,,,,,,,
Catch the Leader,Pick-up and Deliver,Simulation,Solo / Solitaire Game,Three Dimensional Movement,Tile Placement,,,,,,,,,,,,,,,
Area Majority / Influence,Area Movement,Hand Management,Rondel,,,,,,,,,,,,,,,,,
Area Movement,Dice Rolling,Simulation,Team-Based Game,,,,,,,,,,,,,,,,,
Events,Hand Management,Open Drafting,Set Collection,Take That,Tile Placement,,,,,,,,,,,,,,,
Point to Point Movement,Roll / Spin and Move,Team-Based Game,,,,,,,,,,,,,,,,,,
Point to Point Movement,Set Collection,Time Track,,,,,,,,,,,,,,,,,,
Dice Rolling,Paper-and-Pencil,Re-rolling and Locking,Solo / Solitaire Game,,,,,,,,,,,,,,,,,
Events,Grid Movement,Hand Management,Tile Placement,,,,,,,,,,,,,,,,,
Hand Management,Set Collection,,,,,,,,,,,,,,,,,,,
