이름,링크,상세정보
"내가 나누고 다른 사람이 선택 (I Cut, You Choose)",https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=935,"한 플레이어가 한 자원 세트를 여러 그룹으로 나눕니다. 다른 플레이어들이 그중 어떤 그룹을 선택할지 먼저 선택합니다.
<San Marco>와 <New York Slice>는 이 메커니즘을 활용하였습니다.
이 메커니즘은 차례 순서와 같은 더 추상적인 것을 나누는 데에도 사용될 수도 있습니다. 많은 게임에서 첫 번째 플레이어가 갖는 이점을 최소화하기 위해 소위 ‘파이 규칙’ 또는 <Hex>와 같이 ‘교환 규칙’을 사용합니다. 이 게임에서는 첫 번째 플레이어가 첫 번째 행동을 하고 나서 두 번째 플레이어가 다음 두 가지 중 하나를 선택하여 수행합니다. 첫 번째 플레이어의 색깔과 첫 번째 행동을 두 번째 플레이어가 그대로 넘겨 받습니다, 또는 첫 번째 플레이어의 색깔과 첫 번째 플레이어의 첫 번째 행동을 그대로 두고 그에 대응하여 두 번째 플레이어가 첫 번째 행동을 합니다. 그 후에는 일반적인 규칙에 따라 이어서 차례를 진행합니다."
노래 (Singing),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1015,노래 메커니즘을 사용한 게임에서 플레이어들은 게임의 요구사항을 달성하기 위해 친숙한 노래를 부르거나 흥얼거려야 합니다.
뇌물 (Bribery),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=890,"플레이어들은 다른 플레이어들로 하여금 특별한 행동을 수행하게 만들기 위해 뇌물을 제안합니다.
일반적으로, 플레이어들은 특정 행동에 대해서 뇌물을 제안합니다. 다른 플레이어가 그 제안을 수락하면 뇌물을 받습니다. 수락하지 않을 경우, 뇌물은 제안자에게 돌아갑니다. Santiago 및 Tonga Bonga가 이러한 방식을 채용했습니다.
뇌물은 Negotiation 메커니즘의 일부로도 사용되는데, 이때 플레이어들이 제안하는 뇌물은 상대의 행동을 구속할 수도, 그렇지 않을 수도 있습니다. Intrigue는 후자의 대표적인 예입니다."
"다양한 타입의 일꾼 놓기 (Worker Placement, Different Worker Types)",https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1049,"각 일꾼들이 여러 능력을 가지고, 향상되거나 격하되기도 하며, 종류에 따라 서로 다른 구역이나 건물에 놓일 수 있습니다. 
이 메커니즘을 사용하는 게임에는 Age of Empires III: The Age of Discovery와 The Manhattan Project가 있습니다."
다중 입찰 경매 (Multiple-Lot Auction),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=968,"플레이어들이 연속으로 한 번에 하나의 물품에 입찰하는 대신, 병렬적으로 여러 물품에 동시에 입찰하는 경매를 말합니다. 경매의 실제 형태는 각 경매 메커니즘에 따릅니다. 
예를들어, Revolution!에서 플레이어들은 동시에 12개의 행동에 비밀 입찰 경매를 시행합니다. "
다중 지도 (Multiple Maps),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=967,"특정 지점에서 연결된 여러 개의 지도를 사용하는 게임입니다.
몇 가지 쉬운 예시를 들자면, 판타지 철도 게임인 <Iron Dragon>은 지상과 지하 지도를 사용하며, 두 지도는 연결되어 있습니다.
<Khronos>는 게임판 3개를 사용하는데, 각 게임판은 같은 장소의 다른 시간대를 나타냅니다. 이전 시대의 게임판에 있는 구조물은 미래 시간대의 게임판에 영향을 줍니다.
<Fische Fluppen Frikadellen>은 15명의 플레이어가 세 게임판을 가로질러 다른 지역과 상품을 교역할 수 있게 해줍니다. 플레이어는 정해진 시간에 다른 게임판으로 물리적으로 이동할 수 있으며, 이때 돈과 상품도 같이 가져갑니다."
다회 점수 합산 게임 (Score-and-Reset Game),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1008,"종료 조건에 도달할 때까지 게임을 플레이하고 점수를 기록한 다음, 게임을 다시 처음으로 돌려 한번 이상의 추가 라운드를 진행합니다. 몇 번의 라운드가 끝난 후 게임이 종료되고, 각 라운드의 점수를 합산하여 승자를결정합니다. "
단독 패배 게임 (Single Loser Game),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1016,한 플레이어가 패배할 때 게임이 종료되는 게임입니다. 
단판 승부 게임 (Sudden Death Ending),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1027,"동점인 경우, 단판 승부 규칙이 발동되어 플레이어가 특정 조건을 성취하여 게임이 종료될 때까지 게임을 계속하는 방식을 말합니다. "
닫힌 경제 방식 경매 (Closed Economy Auction),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=897,"""닫힌 경제""는 어떤 경매 유형에도 적용될 수 있는 메타-메커니즘입니다. 닫힌 경제 방식 경매에서는 경매에서 지불된 모든 금액이 경매 참가자들에게 환원됩니다.
예를 들어 Dream Factory에서는, 낙찰자가 지불한 금액이 낙찰자를 제외한 모든 플레이어에게 균등하게 분배되며, 이렇게 경매에서 져서 돈을 획득하는 것이 이 게임에서 돈을 얻는 유일한 방법입니다."
대단원 (Finale Ending),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=921,"대단원 게임은 게임 종료 시점이 되었을 때 승자를 정하기 위해 특별한 미니 게임을 진행하는 게임입니다.
이 메커니즘이 사용된 게임으로는 Monsters Menace America가 있습니다. "
대출 (Loans),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=949,"플레이어들이 돈을 더 얻기 위해 은행으로부터 대출을 받을 수 있습니다.
플레이어가 자산을 담보로 대출을 받는 <Monopoly(1933)>, 대출이 중요한 전략적 선택인 <증기의 시대> 등이 대출 메커니즘을 사용한 게임입니다."
덱 구성 (Deck Construction),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=909,"가장 먼저, 또는 게임 진행 전에, 플레이어들은 사용할 덱을 만들어야 합니다. 
예시로는 매직 더 개더링과 Smash Up이 있습니다."
덱 파고들기 (Move Through Deck),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=963,"플레이어들은 덱을 파고듭니다. 덱을 끝까지 파고드는 것이 게임 목표인<원 덱 던전>, 덱에서 보스를 찾아 물리치는 것이 목표인 <Chainsaw Warrior>, 덱을 파고들다 보면 게임이 종료되는 <Diamant>가 대표적인 게임입니다."
"덱, 백, 풀 빌딩 (Deck, Bag, and Pool Building)",https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=910,"플레이어들은 개별 덱에서 뽑은 카드를 사용하고, 새로운 카드를 얻어 자신의 덱에 카드를 넣고 반복적으로 사용하며, 카드를 얻어 덱을 개선시킵니다. 
이 카테고리는 백 빌딩, 풀 빌딩 및 기타 관련 메커니즘을 포함합니다. 
도미니언이 이 메커니즘의 선구자입니다. "
동맹 (Alliances),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=873,"플레이어들은 게임 진행 중 바꿀수 있는 공식적인 관계를 가집니다. 
이 관계는 협상 게임의 그것과는 다르고, 특별한 게임 규칙에 의해서 통제됩니다. 예를들어, Dune에서 플레이어들은 각 넥서스 단계에 다음 넥서스 단계까지 지속되는 동맹을 맺을 수 있습니다. 이 시간동안 그 플레이어들은 함께 승리하고 서로를 공격할 수 없으며, 동맹이 특별한 힘을 발휘할 수 있도록 해 줍니다. 제국의 투쟁에서 플레이어들은 그 라운드 동안 동맹을 선택할 수 있는 권리를 경매하는데, 이 동맹은 특별한 규칙에 의해 통제됩니다. 
플레이어들이 전체 게임동안 파트너로서 동맹을 맺고, 함께 이기거나 함께 패배하는 게임은 팀전 게임 으로 분류됩니다. "
동시 행동 선택 (Simultaneous Action Selection),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1014,"플레이어들은 동시에, 그리고 비밀리에 자신의 차례를 계획합니다. 그러고 나서 동시에 자신의 계획을 공개합니다.  "
드래프트 (Drafting),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=916,"드래프트 게임에서는 플레이어들에게 카드(및 기타 게임 구성물)를 나눠주는 방식을 사용합니다. 순차적이면서 제한적인 선택이 이루어지며 ""고르고 넘기기""가 일반적입니다. 
그 일반적인 경우에서는 각 플레이어에게 같은 장수의 카드를 나누어 줍니다. 그런 다음 플레이어들은 카드를 1장(이상) 골라 취하고 나머지를 왼쪽으로 넘깁니다. 모든 카드가 누군가에게 선택되거나 버려져서 남은 카드가 없어질 때까지 이것을 반복합니다. 이런 드래프트를 하는 기본 게임으로 7 원더스가 있습니다.
변형꼴로는 플레이어 단 한 명만 카드를 받은 뒤 모든 플레이어들이 카드를 받을 때까지 돌아가며 카드를 1장 받고 나머지 넘기기를 하는 것입니다. 이것은 선플레이어에게 크게 유리한 방식이므로, 이에 대해서 테마적으로 납득을 시키거나 플레이어별 유불리의 균형을 잘 맞춰줄 필요가 있습니다.
공개적으로 펼쳐진 것들 가운데 선택이 이루어지는 ""공개 드래프트(Card Drafting)""와는 차이가 있습니다."
뜨거운 감자 (Hot Potato),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=934,플레이어가 가지고 있으면 나쁜 효과를 주는 아이템 하나가 있습니다. 플레이어들은 게임이 끝날 때 또는 별도로 정한 시간에 그것을 갖고 있지 않기 위해 그것을 피하거나 다른 플레이어에게 넘겨주려 고군분투합니다. 
레거시 게임 (Legacy Game),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=946,"레거시 게임이란, 이전 게임에서 거둔 결과가 그 뒤에 이어서 할 게임 상황에 영향을 주는 게임을 의미합니다. 이번 게임의 결과가 다음 게임에 영구적이고 돌이킬 수 없는 변화를 가져온다는 점이 레거시 게임의 특징입니다."
론델 (Rondel),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1006,"게임에서 사용 가능한 행동이 원 안에 쐐기 모양 파이 형태로 표시되어 있습니다. 각 플레이어는 하나 이상의 토큰을 ""론델 쐐기""에 놓습니다. 자신의 차례에, 플레이어는 자신의 토큰을 론델 원 안에서 이동시켜 멈춘 쐐기에 표시된 행동을 합니다. 일반적으로, 론델 안에서 추가 이동을 하기 위해서는 비용이 필요합니다. "
롤플레잉 (Role Playing),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1003,어떤 게임들은 롤플레잉 요소를 포함합니다. 플레이어들이 시간이 지날수록 성장하는 캐릭터들을 조종하는 것은 그러한 요소 중 하나입니다. 스토리텔링을 중심으로 진행하는 게임도 롤플레잉 게임이 될 수 있습니다. 롤플레잉 메커니즘은 가변적 플레이어 능력 메커니즘에서 확장된 것이라고 볼 수 있습니다.
만칼라 (Mancala),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=951,"만칼라 메커니즘을 활용한 전형적인 게임에서, 플레이어들은 한 장소의 토큰들을 집어 든 다음, 특정 방향으로 돌아가면서 하나씩 내려놓습니다. 마지막으로 토큰을 내려놓는 위치가 중요한 역할을 합니다.
이 메커니즘의 이름이 유래한 <Kalah(700)>를 비롯, <Finca(2009)> <Theseus: The Dark Orbit(2013)> 같은 게임에서 이 메커니즘을 찾을 수 있습니다."
맞춰서 내기 (Matching),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=957,"플레이어는 반드시 이전 차례를 진행하며 나온 속성에 맞춰 자신의 차례를 진행해야 합니다. <우노(1971)>, <Crazy Eights>처럼 숫자 또는 색이나 무늬가 일치하도록 카드를 내는 게임이 해당됩니다.
다음에 내는 것의 수가 이전에 나온 수에 따라서 특정 범위에 들어야 하는 식으로 구현하는 경우도 있습니다. 예를 들어, <라마>에서는 이전에 나온 카드와 같거나 수가 하나 더 큰 카드만 낼 수 있습니다. 또, <Spit>에서는 하나 높거나 낮은 카드만 낼 수 있습니다.
참고: 이 메커니즘은 무늬를 따라야 하는 ""트릭테이킹(Trick-taking)"", 또는 ""클라이밍(Ladder Climbing)""과 유사하지만, 구분해서 더 적절한 것을 사용해 주세요."
명령 카드 (Command Cards),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=898,플레이어는 손에 든 명령 카드들을 써서 자신의 유닛 중 일부를 활성화하고 행동을 수행하게끔 할 수 있습니다.
명령 카운터 (Order Counters),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=973,"플레이어들은 지역에 자신의 명령 토큰을 놓습니다. 명령 토큰은 그들이 게임판의 특정 지역에서 어떤 행동을 할 것임을 표시합니다. 모든 토큰이 놓인 후, 플레이어들은 이를 순서에 따라 시행합니다. 
스타크래프트: 보드게임이 이 메커니즘의 대표적인 예입니다. "
모듈형 게임판 (Modular Board),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=962,"타일이나 카드를 조합하여 게임판을 만드는 메커니즘입니다.
많은 게임에서 게임판 놓기는 무작위로 진행되며, 이로 인해 게임의 양상이 달라지게 되곤 합니다.
이 메커니즘을 사용하는 보드게임 중에는 게임판을 이루는 모든 타일이 동시에 사용되지 않는 경우도 있습니다. 이 경우 사용하지 않는 게임판은 그것을 사용하게 되기 전까진 게임에서 제외됩니다."
목표 단서 (Targeted Clues),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1029,"한 플레이어는 전체 플레이어가 아닌 그가 원하는 플레이어 답을 추론할 수 있는 단서를 줍니다.
이 메커니즘은 흔히 딕싯이나 Barbarossa같은 파티 게임에서 많이 등장합니다. "
몸짓 (Acting),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=781,"연기 메커니즘을 채용한 게임에서 플레이어들은 다른 플레이어와 소통하기 위해 마임을 하거나 흉내를 내야합니다. 
Charades는 이 메커니즘을 대표하는 게임입니다. 이 게임에서 팀 구성원 중 한 명은 다른 팀 구성원이 해답을 추리할 수 있도록 힌트를 주는데, 언어를 사용하지 않고 주어야 합니다."
무작위 생산 (Random Production),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=996,자원들이 무작위 과정으로 생산되어 자격을 갖춘 플레이어들에게 분배됩니다. 카탄과 Crude: The Oil Game이 초기 형태의 이 메커니즘에 기반한 게임입니다. 
물리적 제거 (Physical Removal),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=985,"기물들을 구조물에서 제거해 나갑니다. 게임 진행은 이렇게 떨어지는 물건들(Ker Plunk)이나, 구조물의 완벽한 붕괴(Zenga)에 의해 영향을 받습니다."
미니맵 해결 (Minimap Resolution),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=961,"갈등이 발생하면, 게임말이 별도의 게임판으로 옮겨져 이를 해결합니다.
<Titan>이 이 방식의 고전적인 예시입니다."
밀기 (Slide / Push),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1017,"플레이어들은 토큰을 밀거나 미끄러뜨립니다. 그 앞에 놓였던 다른 토큰들은 이를 통해 다시 밀릴 수 있습니다. 
예시: 아발론, 르네상스의 거장들, 블랙 엔젤"
방해 (Interrupts),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=940,"방해는 ""차례 순서(Turn Order)""에 대한 메타 메커니즘입니다. 플레이어들은 일반적인 차례 순서를 방해하는 행동 하나를 해도 됩니다. "
배신자 게임 (Traitor Game),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=981,"배신자 게임은 팀 게임들이나, 배신 메커니즘을 갖춘 협력게임 등에서 찾아볼 수 있습니다. 배신자는 보통 플레이어들의 실패 조건을 발동시킴으로서 승리합니다. 배신자 게임은 게임 시작 시 비밀 정체를 가지고 시작하나, 게임 중 밝혀지는 배신자가 있는 것이 특징입니다. "
베팅과 블러핑 (Betting and Bluffing),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=887,"[카드를 더 우수한 조합으로 나누어 받거나, 주사위를 굴려 더 높은 숫자가 나오는 등]의 무작위적인 결과에 기반한 게임에서, 다른 모든 사람이 건 판돈을 딸 기회(참여권)를 얻기 위해, 플레이어들은 자금이나 자원을 자신의 판돈으로 겁니다. 플레이어들은 통상적으로 전체 게임 상태에 대한 부분적인 정보만을 가지고 있으며, ""블러프""라고 불리는 행위를 할 수 있습니다. ""블러프""란, 실제 자신이 가진 지위/도구를 부풀려서 마치 더 높은 지위/도구를 가진 것처럼 (게임 내 행동을 통해) 다른 사람에게 보여주는 행위입니다. 그 외에도, 플레이어들은 그 시합에서 ""폴드""하거나, 빠질 수 있습니다. 이렇게 할 경우, 그는 지금껏 자신이 걸어둔 판돈까지만 잃는 것으로 손실을 제한할 수 있습니다."
병력 운용 (Force Commitment),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=925,"병력 운용 게임은 플레이어들이 서로 다른 범주의 전장에 자신의 병력을 얼마나 보낼 것인지를 선택하는 게임입니다. 이 경우 (비공개로) 동시에 또는 순차적으로 선택한 뒤에 이를 해결합니다. 약정한 병력을 모두 잃어야 한다는 점에서는 ""경매 / 입찰(Acution / Bidding)"" 방식과 동일하지만, 차이점은 이 메커니즘이 복수의 경쟁 및 동시다발적인 경쟁이 이루어지는 전쟁 게임이나 ""지역 우선권 / 영향력(Area Majority / Influence)"" 게임에 적용된다는 점이 차이입니다. 
이러한 메커니즘의 초기 형태로는 Dune이 있습니다."
비대칭 역할 정보 (Role with Asymmetric Information),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1004,"한 명 이상의 플레이어가 게임 시작 시 자신의 역할과 그에 따른 서로 다른 승리조건을 배정받습니다. 그리고 게임 상태에 대해서도 서로 다른 시작 정보를 받습니다. 
이 메커니즘은 보통 역할 숨김 게임의 일종으로 취급되나, 모든 플레이어가 불완전한 정보를 가지고 있다는 것이 다릅니다. Werewolf에서 모든 늑대인간들은 완전한 정보를 가지고 있습니다. 반대로, Spyfall에서 대부분의 플레이어는 공간에 대한 정보를 가지고 있으나, 스파이가 누구인지는 모릅니다. 스파이는 반대로 자신이 스파이라는 것을 알고 있고, 공간에 대한 정보를 모릅니다. 
이 메커니즘 게임의 예로는 Spyfall과 Insider가 있습니다."
비밀 유닛 배치 (Secret Unit Deployment),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1009,"비밀 유닛 배치 게임은 숨겨진 정보를 포함하는 게임입니다. 게임 말을 조종하는 플레이어만 말에 대해 본질과 소재에 이르기까지의 완벽한 정보를 가지고 있습니다. 이 메커니즘은 전쟁 게임에서 ""전장의 안개(fog of war)""를 구현하기 위해 사용됩니다. "
비율 / 전투 결과표 (Ratio / Combat Results Table),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=997,"유닛간의 전투를 해결하는 많은 전쟁 보드게임에서, 공격자와 방어자는 그 전투에 관여한 모든 유닛의 전투력을 모두 더합니다. 이는 공격자와 방어자 사이의 비율로 표시되고, ""전투 결과표(CRT)""에 연동되어 사용됩니다. 그러고 나서 주사위를 굴려 최종 전투 결과를 결정합니다. "
빙고 (Bingo),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=889,"물품들이 무작위로 선정되며, 각 플레이어들은 자기 고유 게임판에 사용하기 위해 그 물품들을 필요로 합니다.
Bingo 외에도, Take it Easy!, Rise of Augustus, Super-Skill Pinball: 4-Cade 등이 본 메커니즘을 사용하는 게임의 주요 예시입니다. 본 메커니즘은 메커니즘: Roll-and-Write와 메커니즘: Flip-and-Write을 사용하는 장르의 토대가 되었습니다."
빨리 맞추기 (Speed Matching),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1019,"보통 카드를 뒤집어서 패턴을 공개합니다. 그러면 플레이어들은 테이블에 있는 다른 게임 구성물들과 연결되는 것을 먼저 찾거나, 그러한 연결이 존재하는지를 찾아야 합니다. 
예시 게임으로는 Scan이나 정글 스피드가 있습니다."
사각 격자 (Square Grid),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1020,"게임 말이 사각형으로 이루어진 바둑판무늬의 게임판에 놓이고, 이 게임판은 인접함을 판정하거나 또는 이동을 위해 사용됩니다. "
상대적 이동 (Relative Movement),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=1000,"유닛들의 이전 움직임은 추적되지 않습니다. 오직 그들의 상대적 위치만이 중요합니다. 
이 메커니즘은 경주 게임에서 분화된 메커니즘입니다. Formula Motor나 Racing RoadKill이 대표적인 게임이고, 다른 테마로는 상어에게 도망치는 Get Bit! 같은 게임이 있습니다. "
상품 투기 (Commodity Speculation),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=899,"투자 메커니즘의 하위 분류로서, 플레이어가 다양한 종류의 상품을 다양한 수량으로 사고 팔 수 있으며 그 가치가 게임 도중 변화하는 것을 가리킵니다.
상품 투기는 플레이어가 상품 가치에 간접적으로 영향을 끼칠 수 있으나 다른 사람에게 손해를 끼치려면 자신도 손해를 감수해야 하는 유형의 게임과, 플레이어들이 직접적으로 상품 가치를 조작할 수 있으며 그 향방을 정하기 위해 서로 합종연횡해야 하는 유형의 게임 모두를 포함합니다."
서로 다른 주사위로 이동하기 (Different Dice Movement),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=915,"부대나 게임의 상황에 따라 이동하는데 서로 다른 주사위를 사용합니다. 
이 메커니즘을 사용한 초기 게임으로 Formula De가 있습니다. 경주용 차량의 기어를 서로 다른 주사위로 표현했습니다. "
서사 / 단락 선택 (Narrative Choice / Paragraph),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=969,"서사 형태를 통해, 여러 행동 선택지가 플레이어에게 주어집니다. 
이 메커니즘은 Tales of the Arabian Nights 또는 Above and Below같이, 보통 번호가 붙은 단락이 있는 책으로 구현되거나, 데드 오브 윈터: 크로스로드 게임과 같이 카드로 표현됩니다. "
선 그리기 (Line Drawing),https://www.divedice.net/kor/board/wiki?viewMode=view&ca=%EB%A9%94%EC%BB%A4%EB%8B%88%EC%A6%98&sel_search=&txt_search=&orderby=&page=1&idx=947,"어떤 식으로든 게임을 하는 동안 선을 그리는 행동을 하게 된다면, 선 그리기 메커니즘을 사용했다고 할 수 있습니다. <Sprouts(1967)>에서 사용된 것처럼 대상을 연결하는 선을 그리는 것일 수도 있고, 대상을 구분짓는 선을 그리는 것일 수도 있고, <Dots> 나 <Square-it(1961)>에서 사용된 것처럼 영역을 만들기 위해 선을 그리는 것일 수도 있습니다.
선이 아니라 기호나 그림을 그리는 것은 따로 분류하여 그리기 메커니즘이라고 합니다."
